iter	Logloss
0	0.6826846533
1	0.6725931592
2	0.6637017764
3	0.6555924244
4	0.6477456968
5	0.6403651569
6	0.6337562082
7	0.6270375134
8	0.6207524731
9	0.6147102745
10	0.6099881006
11	0.6049900812
12	0.6001919478
13	0.5957197713
14	0.5918692975
15	0.5883526312
16	0.584379609
17	0.5805410283
18	0.577367265
19	0.5755317886
20	0.5724894464
21	0.5697410614
22	0.5672278629
23	0.5646080552
24	0.5622513172
25	0.5603735754
26	0.5581366876
27	0.5562053354
28	0.5542086186
29	0.5529725891
30	0.5517233058
31	0.5501216162
32	0.5485546502
33	0.5478824771
34	0.546593072
35	0.545421462
36	0.5446991886
37	0.5439001775
38	0.5427028261
39	0.5416646292
40	0.5409644394
41	0.5401297462
42	0.5391311829
43	0.5385316671
44	0.537629512
45	0.5369166487
46	0.536055233
47	0.5353497689
48	0.5347454714
49	0.5342707067
50	0.5335289651
51	0.5332375475
52	0.5326870838
53	0.5325302927
54	0.5318450345
55	0.5312055915
56	0.5307101636
57	0.5304069892
58	0.5299978274
59	0.5297972568
60	0.5296460855
61	0.5292551643
62	0.5291075274
63	0.5287197981
64	0.528389251
65	0.5281976902
66	0.5277849913
67	0.5274518153
68	0.5272190065
69	0.526864833
70	0.5266012157
71	0.5262973825
72	0.5262167443
73	0.5258380467
74	0.5254803179
75	0.5253672722
76	0.5251258762
77	0.5249399382
78	0.5247289814
79	0.524513073
80	0.524258182
81	0.5241498713
82	0.5240143606
83	0.523789221
84	0.5235093251
85	0.523411219
86	0.5233830943
87	0.5233659275
88	0.5231940854
89	0.5230037944
90	0.5228427162
91	0.5226847975
92	0.5225615445
93	0.5223240829
94	0.522166606
95	0.52198605
96	0.5217604254
97	0.5216028991
98	0.5214759911
99	0.5213147977
100	0.5212850678
101	0.5212585492
102	0.5211663172
103	0.5210395535
104	0.5209708701
105	0.5208787049
106	0.5206394666
107	0.520550112
108	0.520491854
109	0.5203498491
110	0.5203076041
111	0.5202344287
112	0.5202286881
113	0.5201457708
114	0.5199975795
115	0.519897131
116	0.5198932958
117	0.5198567891
118	0.5197799576
119	0.5196431219
120	0.5195014744
121	0.5194445407
122	0.5193831426
123	0.519242436
124	0.5192120293
125	0.5192094737
126	0.5190318996
127	0.518941325
128	0.5188585149
129	0.5187624426
130	0.5186354822
131	0.5185284923
132	0.5184309848
133	0.5183437377
134	0.5182770031
135	0.5182497433
136	0.5182305698
137	0.5182135449
138	0.5181121708
139	0.5179719272
140	0.5178287002
141	0.5178168068
142	0.5177542247
143	0.5177250327
144	0.5175922073
145	0.5174554727
146	0.5173867187
147	0.5173806238
148	0.5172400172
149	0.5171724481
150	0.5171181696
151	0.5170008513
152	0.5168865922
153	0.5168152835
154	0.5167413558
155	0.5166776669
156	0.5165382578
157	0.5164221331
158	0.5162564286
159	0.5162416757
160	0.5162044543
161	0.5162017268
162	0.5161785944
163	0.5160523403
164	0.5159870444
165	0.5159510212
166	0.515929999
167	0.5158955976
168	0.5157683892
169	0.5157368544
170	0.5156772705
171	0.5156183227
172	0.5155292103
173	0.5153841967
174	0.5153661918
175	0.5153176878
176	0.5152867378
177	0.515170261
178	0.515117455
179	0.5150036498
180	0.5149369665
181	0.5149164193
182	0.5148152096
183	0.5147861231
184	0.5147826501
185	0.5147720736
186	0.5146791414
187	0.5145135282
188	0.5144880591
189	0.5144749252
190	0.5144542735
191	0.5144479643
192	0.5144257435
193	0.5144230528
194	0.5144225256
195	0.5143071639
196	0.5143008911
197	0.5142707697
198	0.5142493516
199	0.5141810509
200	0.514172367
201	0.5141187422
202	0.5140455463
203	0.5139904885
204	0.5139371389
205	0.5138985613
206	0.5138613776
207	0.5138249856
208	0.5138220801
209	0.513821983
210	0.5136980556
211	0.5136546749
212	0.5135747128
213	0.5134583452
214	0.5133346303
215	0.5132784128
216	0.5132781089
217	0.5132431545
218	0.5132248071
219	0.5132166847
220	0.5132152636
221	0.5131945101
222	0.5131612133
223	0.5131194571
224	0.5131192155
225	0.5131190044
226	0.5130507311
227	0.513002416
228	0.5129992516
229	0.5129920975
230	0.5129913356
231	0.5129851919
232	0.5129508429
233	0.5129092306
234	0.5129055688
235	0.5128340252
236	0.5128340089
237	0.5127647181
238	0.5127562706
239	0.5127558611
240	0.5127240416
241	0.5126387942
242	0.5125699307
243	0.5125696765
244	0.5125692176
245	0.5125267616
246	0.5125060479
247	0.5125015358
248	0.5124940621
249	0.512491087
250	0.5124690452
251	0.5124689411
252	0.5124596082
253	0.5124168467
254	0.5123863042
255	0.5123648075
256	0.5123519063
257	0.5123362638
258	0.5123119164
259	0.5122984106
260	0.5122281961
261	0.5122145179
262	0.5121752703
263	0.5121751489
264	0.5121733915
265	0.5121712551
266	0.5121320524
267	0.5121241829
268	0.5121046166
269	0.5120657453
270	0.5120529433
271	0.5120529284
272	0.5120504982
273	0.5120367225
274	0.5120122085
275	0.5120083661
276	0.5119219578
277	0.5119134296
278	0.5119008822
279	0.5117638052
280	0.5117637967
281	0.5117546281
282	0.5117215656
283	0.5117100095
284	0.5116664586
285	0.5116263758
286	0.5116029854
287	0.5115411069
288	0.511510411
289	0.5114852879
290	0.5114774515
291	0.5114710498
292	0.5114572593
293	0.5114571288
294	0.5114364712
295	0.5114148127
296	0.5113732774
297	0.5113662862
298	0.5113533784
299	0.5113314735
300	0.5113043939
301	0.511269558
302	0.5112543313
303	0.511233026
304	0.5112266614
305	0.5112055528
306	0.5111617174
307	0.5111323688
308	0.5111054456
309	0.5110331779
310	0.5110283097
311	0.5109644693
312	0.5109464207
313	0.5109461088
314	0.5109397644
315	0.5108960129
316	0.5108679631
317	0.5108387826
318	0.5108093444
319	0.5107731995
320	0.5107695707
321	0.5107347295
322	0.5107266026
323	0.5107169475
324	0.5106787868
325	0.5106701149
326	0.510658476
327	0.5106540932
328	0.5106461156
329	0.5106081794
330	0.5105857253
331	0.5105830163
332	0.5105533195
333	0.5105417932
334	0.5105240025
335	0.5104868871
336	0.5104647712
337	0.5104397713
338	0.5104259679
339	0.5104184678
340	0.5104183205
341	0.5104181824
342	0.5104003088
343	0.510400281
344	0.5103655435
345	0.5103625246
346	0.5103367803
347	0.5103297801
348	0.5102885921
349	0.5102790875
350	0.5102510789
351	0.5102491572
352	0.5102489497
353	0.510243918
354	0.5102257151
355	0.5102136258
356	0.5102135486
357	0.5101642058
358	0.5101510366
359	0.5101009194
360	0.5100813575
361	0.5100605491
362	0.510047653
363	0.5100452624
364	0.5099507233
365	0.509950594
366	0.5099152022
367	0.5098846294
368	0.5098595717
369	0.5098594613
370	0.5098533172
371	0.5098404489
372	0.5098363264
373	0.5098209505
374	0.5097941011
375	0.5097116222
376	0.5097115102
377	0.5096847138
378	0.5096811427
379	0.5096768507
380	0.5096698095
381	0.5096589531
382	0.5096349958
383	0.5096293944
384	0.5094880741
385	0.5094868844
386	0.5094521087
387	0.50945085
388	0.5094507182
389	0.5094461308
390	0.5094226652
391	0.5094067236
392	0.5094066616
393	0.5093894663
394	0.5093850925
395	0.5093850368
396	0.5093760301
397	0.5093595541
398	0.509359418
399	0.5093542998
400	0.5093480363
401	0.5093373873
402	0.5093176348
403	0.5093008628
404	0.5092817661
405	0.509264683
406	0.5092494656
407	0.5091384943
408	0.5091313543
409	0.5091204157
410	0.5091113098
411	0.5090702057
412	0.509070133
413	0.5090550126
414	0.5090238503
415	0.5090146118
416	0.5090145876
417	0.509011204
418	0.5090111897
419	0.5090089584
420	0.5090019966
421	0.5089947633
422	0.5089808228
423	0.5089762314
424	0.5089593574
425	0.5089276583
426	0.5088970232
427	0.5088278574
428	0.5088277934
429	0.508813302
430	0.5087939661
431	0.5087861247
432	0.5087768916
433	0.5087616769
434	0.5087461563
435	0.5086783957
436	0.508666534
437	0.508665521
438	0.508648499
439	0.5086325407
440	0.5086314628
441	0.5086236199
442	0.5086150919
443	0.5085640858
444	0.5085619171
445	0.5085612717
446	0.508550402
447	0.5085250353
448	0.5085210766
449	0.5084990166
450	0.5084829024
451	0.508473555
452	0.5084674467
453	0.5084646729
454	0.5084582847
455	0.5084432917
456	0.5084427071
457	0.5084373399
458	0.5084372886
459	0.5084186204
460	0.508409287
461	0.5084034421
462	0.5084007189
463	0.5084003796
464	0.5084003377
465	0.5083872709
466	0.5083631764
467	0.5083494202
468	0.5083405791
469	0.5083355427
470	0.5083330436
471	0.508326603
472	0.5083265677
473	0.508314206
474	0.5082732256
475	0.5082635833
476	0.5082558954
477	0.5082510996
478	0.5082424267
479	0.5082358846
480	0.5082068657
481	0.5082036585
482	0.5082023183
483	0.5081950254
484	0.5081722716
485	0.5081664326
486	0.508158797
487	0.5081577592
488	0.5081466022
489	0.5081429341
490	0.5081374909
491	0.5080853881
492	0.508027047
493	0.5080263368
494	0.5080256591
495	0.5080058111
496	0.5079940735
497	0.5079940545
498	0.5079786493
499	0.5079779871
500	0.5079625702
501	0.5078947643
502	0.5078947411
503	0.5078866801
504	0.5078837721
505	0.5078625212
506	0.5078567426
507	0.5078544817
508	0.5078544416
509	0.507851844
510	0.5078469262
511	0.5078049263
512	0.5078049007
513	0.5077501636
514	0.5077493977
515	0.5077454079
516	0.5077405956
517	0.5077368064
518	0.5077350476
519	0.5077263992
520	0.5077228284
521	0.5077228082
522	0.5077202197
523	0.507717701
524	0.5077027821
525	0.5076934757
526	0.5076934552
527	0.5076766691
528	0.5076739476
529	0.5076715821
530	0.5076685915
531	0.5076685751
532	0.5076678749
533	0.5076677703
534	0.5076527554
535	0.5076452555
536	0.5076437989
537	0.5076262249
538	0.507625288
539	0.5076252691
540	0.5076191336
541	0.5076128157
542	0.5076018568
543	0.5075946247
544	0.5075899126
545	0.5075159175
546	0.507501448
547	0.5074956329
548	0.5074933204
549	0.5074698218
550	0.5074698008
551	0.5074548724
552	0.5074498732
553	0.5074488141
554	0.5074487871
555	0.5074380136
556	0.5074371842
557	0.5074342013
558	0.5074195445
559	0.5074102523
560	0.5073382823
561	0.5073333488
562	0.5073323178
563	0.5073311288
564	0.5072824972
565	0.5072808257
566	0.5072784253
567	0.5072772236
568	0.5072395237
569	0.507224319
570	0.5072197129
571	0.5072161273
572	0.5071866799
573	0.5071837808
574	0.5071761351
575	0.5071317801
576	0.5071299479
577	0.5071284777
578	0.5071276379
579	0.5071245479
580	0.5070923927
581	0.5070859624
582	0.5070626767
583	0.507057268
584	0.5070572334
585	0.5070072742
586	0.5070072407
587	0.5070059564
588	0.5069474007
589	0.506907973
590	0.5069065464
591	0.5069065181
592	0.5069061911
593	0.5068990596
594	0.5068989117
595	0.5068946892
596	0.5068876865
597	0.5068817726
598	0.5068544416
599	0.5068515354
600	0.5068480472
601	0.5068456614
602	0.5068398647
603	0.5068327122
604	0.5068305689
605	0.5068261562
606	0.5068256694
607	0.5067993924
608	0.5067900037
609	0.5067887569
610	0.5067849814
611	0.5067817876
612	0.5067814473
613	0.5067761235
614	0.5067736312
615	0.5067572909
